DATE	SERIES	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	VALUE	NO. OF  TRADES
04-Mar-26	EQ	"1,909.40"	"1,909.40"	"1,860.20"	"1,941.90"	"1,878.00"	"1,889.30"	"1,887.95"	"2,195.00"	"1,733.00"	2209959	"4,17,22,87,007.10"	116856
02-Mar-26	EQ	"1,950.00"	"1,990.00"	"1,927.00"	"1,993.40"	"1,935.00"	"1,941.90"	"1,952.72"	"2,195.00"	"1,733.00"	1595247	"3,11,50,72,987.80"	105849
27-Feb-26	EQ	"2,022.70"	"2,039.60"	"1,986.60"	"2,041.30"	"1,994.60"	"1,993.40"	"2,006.32"	"2,195.00"	"1,733.00"	1323479	"2,65,53,26,877.90"	65304
26-Feb-26	EQ	"2,057.00"	"2,063.80"	"2,028.00"	"2,049.30"	"2,042.00"	"2,041.30"	"2,044.09"	"2,195.00"	"1,733.00"	493126	"1,00,79,95,854.70"	49807
25-Feb-26	EQ	"2,050.00"	"2,074.90"	"2,043.00"	"2,043.30"	"2,043.00"	"2,049.30"	"2,057.66"	"2,195.00"	"1,733.00"	508162	"1,04,56,24,047.00"	46732
24-Feb-26	EQ	"2,040.00"	"2,050.00"	"2,032.10"	"2,051.60"	"2,045.00"	"2,043.30"	"2,041.54"	"2,195.00"	"1,733.00"	1054129	"2,15,20,46,426.40"	41498
23-Feb-26	EQ	"2,050.00"	"2,069.00"	"2,039.80"	"2,058.50"	"2,046.80"	"2,051.60"	"2,055.08"	"2,195.00"	"1,733.00"	1070139	"2,19,92,22,199.50"	44195
20-Feb-26	EQ	"2,033.20"	"2,063.90"	"2,021.10"	"2,033.20"	"2,045.00"	"2,058.50"	"2,054.85"	"2,195.00"	"1,733.00"	459679	"94,45,73,581.70"	20845
19-Feb-26	EQ	"2,068.00"	"2,068.00"	"2,025.00"	"2,060.60"	"2,040.00"	"2,033.20"	"2,039.85"	"2,195.00"	"1,733.00"	659450	"1,34,51,76,807.80"	32240
18-Feb-26	EQ	"2,040.00"	"2,065.90"	"2,040.00"	"2,044.40"	"2,060.20"	"2,060.60"	"2,056.17"	"2,195.00"	"1,733.00"	611189	"1,25,67,08,350.20"	34143
17-Feb-26	EQ	"2,045.00"	"2,052.60"	"2,035.00"	"2,050.90"	"2,040.30"	"2,044.40"	"2,045.42"	"2,195.00"	"1,733.00"	252282	"51,60,23,036.50"	20237
16-Feb-26	EQ	"2,023.20"	"2,055.00"	"2,022.20"	"2,023.20"	"2,053.10"	"2,050.90"	"2,045.51"	"2,195.00"	"1,733.00"	812257	"1,66,14,80,828.20"	26137
13-Feb-26	EQ	"2,035.00"	"2,035.00"	"2,012.70"	"2,037.10"	"2,027.00"	"2,023.20"	"2,023.40"	"2,195.00"	"1,727.25"	756233	"1,53,01,59,859.50"	50155
12-Feb-26	EQ	"2,025.00"	"2,041.90"	"2,012.10"	"2,027.00"	"2,034.00"	"2,037.10"	"2,033.96"	"2,195.00"	"1,727.25"	637754	"1,29,71,63,243.50"	46658
11-Feb-26	EQ	"2,032.00"	"2,050.00"	"2,022.00"	"2,027.90"	"2,022.10"	"2,027.00"	"2,034.60"	"2,195.00"	"1,727.25"	538669	"1,09,59,77,167.30"	37958
10-Feb-26	EQ	"2,027.00"	"2,033.90"	"2,019.90"	"2,024.60"	"2,023.00"	"2,027.90"	"2,025.38"	"2,195.00"	"1,727.25"	717899	"1,45,40,16,590.00"	44265
09-Feb-26	EQ	"2,026.90"	"2,032.00"	"2,018.80"	"2,024.20"	"2,025.10"	"2,024.60"	"2,024.39"	"2,195.00"	"1,727.25"	431032	"87,25,78,986.50"	30474
06-Feb-26	EQ	"2,000.10"	"2,027.40"	"1,983.00"	"2,000.10"	"2,020.80"	"2,024.20"	"2,008.51"	"2,195.00"	"1,727.25"	1257237	"2,52,51,72,661.70"	71732
05-Feb-26	EQ	"2,008.10"	"2,021.80"	"1,992.40"	"2,019.60"	"2,001.00"	"2,000.10"	"2,002.65"	"2,195.00"	"1,727.25"	857399	"1,71,70,68,851.20"	60166
